"Source","Test","Length","Time"
"auto","h0","500","6.709999942779541"
"auto","h8","1500","14.320000076293946"
"auto","h4","50","0.9199999809265137"
"auto","h7","10","0.5699999809265137"
"auto","h9","500","8.030000019073487"
"auto","h7","3000","27.85"
"auto","h1","10","0.5800000190734863"
"auto","h5","10","0.38000001907348635"
"auto","h7","1500","14.24000005722046"
"auto","h1","10","0.6"
"auto","h1","10","0.5800000190734863"
"auto","h1","2000","20.810000038146974"
"auto","h9","500","6.980000019073486"
"auto","h4","100","1.6"
"auto","h1","500","6.159999942779541"
"auto","h4","500","6.060000038146972"
"auto","h2","100","2.780000019073486"
"auto","h5","1000","11.780000019073487"
"auto","h5","10","0.6699999809265137"
"auto","h8","1500","14.359999942779542"
"auto","h2","1000","24.619999980926515"
"auto","h5","3000","32.5"
"auto","h2","100","3.1"
"auto","h8","100","1.940000057220459"
"auto","h8","1500","14.339999961853028"
"auto","h2","1000","24.120000076293945"
"auto","h6","1000","11.960000038146973"
"auto","h9","500","6.3199999809265135"
"auto","h5","10","0.7"
"auto","h0","2000","22.619999980926515"
"auto","h8","50","1.5399999618530273"
"auto","h1","1000","11.45"
"auto","h0","1000","12.419999980926514"
"auto","h3","10","1.1699999809265136"
"auto","h3","50","2.1899999618530273"
"auto","h7","10","0.8900000572204589"
"auto","h4","500","7.389999961853027"
"auto","h0","3000","31.179999923706056"
"auto","h9","1500","14.619999980926513"
"auto","h0","1500","16.04000005722046"
"auto","h6","10","0.75"
"auto","h3","1500","37.63999996185303"
"auto","h1","10","1.3100000381469727"
"auto","h4","3000","40.30999994277954"
"auto","h8","50","2.780000019073486"
"auto","h9","3000","35.179999923706056"
"auto","h6","3000","34.85"
"auto","h1","1500","18.95"
"auto","h9","3000","28.269999980926514"
"auto","h5","1000","11.660000038146972"
"auto","h6","3000","31.25"
"auto","h4","1500","16.539999961853027"
"auto","h1","100","2.6800000190734865"
"auto","h5","10","0.8"
"auto","h8","3000","31.739999961853027"
"auto","h9","3000","29.409999942779542"
"auto","h5","100","1.5699999809265137"
"auto","h2","10","1.25"
"auto","h1","10","1.05"
"auto","h1","2000","25.11000003814697"
"auto","h6","2000","23.419999980926512"
"auto","h6","500","7.639999961853027"
"auto","h1","1500","16.620000076293945"
"auto","h3","500","13.079999923706055"
"auto","h4","500","6.5100000381469725"
"auto","h0","1500","16.74000005722046"
"auto","h7","500","5.5"
"auto","h8","2000","18.88999996185303"
"auto","h0","10","0.9699999809265136"
"auto","h7","500","6.8"
"auto","h2","3000","70.8"
"auto","h5","2000","22.15"
"auto","h8","100","1.95"
"auto","h8","1000","12.140000057220458"
"auto","h4","10","0.6400000572204589"
"auto","h8","1500","15.380000019073487"
"auto","h3","3000","71.63999996185302"
"auto","h4","50","1.2699999809265137"
"auto","h3","1000","24.129999923706055"
"auto","h0","100","2.4899999618530275"
"auto","h4","2000","22.13999996185303"
"auto","h6","2000","21.65"
"auto","h9","100","1.8300000190734864"
"auto","h4","2000","22.29000005722046"
"auto","h5","100","2.090000057220459"
"auto","h6","3000","32.30999994277954"
"auto","h4","50","1.75"
"auto","h9","2000","18.45"
"auto","h3","1500","35.95999994277954"
"auto","h1","500","6.380000019073487"
"auto","h8","3000","27.69000005722046"
"auto","h5","1500","16.909999942779542"
"auto","h7","10","1.0199999809265137"
"auto","h2","2000","49.369999980926515"
"auto","h4","1000","11.180000019073486"
"auto","h5","1500","16.75"
"auto","h8","500","5.179999923706054"
"auto","h6","500","5.910000038146973"
"auto","h0","2000","21.730000019073486"
"auto","h9","2000","19.069999980926514"
"auto","h9","1500","14.760000038146973"
"auto","h5","10","0.7"
"auto","h0","2000","24.11000003814697"
"auto","h0","2000","21.189999961853026"
"auto","h2","2000","47.03000001907348"
"auto","h7","1000","10.019999980926514"
"auto","h8","1000","9.489999961853027"
"auto","h2","10","0.9399999618530274"
"auto","h2","2000","47.40999994277954"
"auto","h1","3000","31.1"
"auto","h2","50","1.5600000381469727"
"auto","h1","50","2.4800000190734863"
"auto","h6","1500","16.15"
"auto","h6","50","1.140000057220459"
"auto","h0","10","0.85"
"auto","h4","50","2.3100000381469727"
"auto","h2","2000","49.62999992370605"
"auto","h3","1500","36.85"
"auto","h0","3000","32.71999998092652"
"auto","h5","2000","22.179999923706056"
"auto","h8","10","1.9699999809265136"
"auto","h6","3000","33.14000005722046"
"auto","h4","500","5.889999961853027"
"auto","h9","1000","9.809999942779541"
"auto","h0","1000","11.760000038146973"
"auto","h3","100","3.9"
"auto","h3","3000","72.83000001907348"
"auto","h9","1000","9.379999923706055"
"auto","h5","100","1.5699999809265137"
"auto","h3","1500","35.579999923706055"
"auto","h8","10","0.85"
"auto","h4","100","1.5199999809265137"
"auto","h6","1000","10.85"
"auto","h1","100","1.7899999618530273"
"auto","h4","500","5.869999980926513"
"auto","h7","500","5.269999980926514"
"auto","h0","3000","32.12999992370605"
